SR.NO,Name,Email,Phone Number,Address,city,state,pincode,,
1,Priya Singh,priya.singh@gmail.com,919876543210,1234 Elm St,Mumbai,Maharashtra,400001,,
2,Rajesh Kumar,rajesh.kumar@gmail.com,919765432109,5678 Oak Ave,Delhi,Delhi,110001,,
3,Amit Patel,amit.patel@gmail.com,919876543211,9101 Pine Blvd,Bangalore,Karnataka,560001,,
4,Neha Sharma,neha.sharma@gmail.com,919678432108,1122 Maple Dr,Chennai,Tamil Nadu,600001,,
5,Ravi Mehta,ravi.mehta@gmail.com,919546210789,2233 Cedar Ln,Mumbai,Maharashtra,400002,,
6,Sunita Reddy,sunita.reddy@gmail.com,919456123098,3344 Birch Way,Delhi,Delhi,110002,,
7,Mohit Gupta,mohit.gupta@gmail.com,919432108765,4455 Fir Ct,Bangalore,Karnataka,560002,,
8,Aarti Desai,aarti.desai@gmail.com,919321098765,5566 Spruce St,Chennai,Tamil Nadu,600002,,
9,Karan Mehta,karan.mehta@gmail.com,919213456789,6677 Redwood Dr,Mumbai,Maharashtra,400003,,
10,Suman Sharma,suman.sharma@gmail.com,919308765432,7788 Oakwood Ave,Delhi,Delhi,110003,,
11,Vijay Kumar,vijay.kumar@gmail.com,919214567890,8899 Walnut St,Bangalore,Karnataka,560003,,
12,Rekha Patel,rekha.patel@gmail.com,919203456789,9900 Ash St,Chennai,Tamil Nadu,600003,,
13,Deepak Sharma,deepak.sharma@gmail.com,919345678901,1010 Cypress Ave,Mumbai,Maharashtra,400004,,
14,Asha Gupta,asha.gupta@gmail.com,919123456789,1122 Cedar Ln,Delhi,Delhi,110004,,
15,Rajni Desai,rajni.desai@gmail.com,919456789012,1234 Elm St,Bangalore,Karnataka,560004,,
16,Alok Sharma,alok.sharma@gmail.com,919567890123,5678 Pine Ave,Chennai,Tamil Nadu,600004,,
17,Sushma Gupta,sushma.gupta@gmail.com,919678901234,9101 Maple Dr,Mumbai,Maharashtra,400005,,
18,Ramesh Kumar,ramesh.kumar@gmail.com,919789012345,1122 Oakwood Ave,Delhi,Delhi,110005,,
19,Neelam Desai,neelam.desai@gmail.com,919890123456,2233 Walnut St,Bangalore,Karnataka,560005,,
20,Sonali Sharma,sonali.sharma@gmail.com,919901234567,3344 Cedar Ln,Chennai,Tamil Nadu,600005,,
21,Rajesh Patel,rajesh.patel@gmail.com,919412345678,4455 Fir Ct,Mumbai,Maharashtra,400006,,
22,Geeta Reddy,geeta.reddy@gmail.com,919123456789,5566 Ashwood Dr,Delhi,Delhi,110006,,
23,Mohan Gupta,mohan.gupta@gmail.com,919234567890,6677 Birch Way,Bangalore,Karnataka,560006,,
24,Rina Sharma,rina.sharma@gmail.com,919345678901,7788 Redwood Dr,Chennai,Tamil Nadu,600006,,
25,Pankaj Mehta,pankaj.mehta@gmail.com,919456789012,8899 Pine Ave,Mumbai,Maharashtra,400007,,
26,Rani Patel,rani.patel@gmail.com,919567890123,9900 Oakwood Ave,Delhi,Delhi,110007,,
27,Suman Reddy,suman.reddy@gmail.com,919678901234,1010 Elm St,Bangalore,Karnataka,560007,,
